question,wiki-url,score 1,score 2,score 3,score 4,answer 1,answer 2,answer 3,answer 4
What is the there-letter abbreviation for Taurus?,https://en.wikipedia.org/wiki/Taurus_(constellation),Easy,Easy,Easy,,Tau,Tau,Tau,
What does the Taurus symbol resemble?,https://en.wikipedia.org/wiki/Taurus_(constellation),Easy,Easy,Easy,,A bull's head,A bull's head,A bull's head,
Where is Taurus located ?,https://en.wikipedia.org/wiki/Taurus_(constellation),Easy,Easy,Easy,,Northern hemisphere's winter sky,Nothern Hemisphere's winter sky,In the northern hemisphere's winter sky,
Which constellation is to the West of Taurus?,https://en.wikipedia.org/wiki/Taurus_(constellation),Medium,Medium,Medium,,Aries,Aries,Aries,
Will Pioneer 10 reach Taurus in a thousand years?,https://en.wikipedia.org/wiki/Taurus_(constellation),Medium,Medium,Hard,,No,No,No,
Who discovered the Crystal Ball Nebula? ,https://en.wikipedia.org/wiki/Taurus_(constellation),Medium,Medium,Medium,,William Herschel,William Herschel,William Herschel,
Who's mistress is Taurus portrayed as in one of the Greek mythologies?,https://en.wikipedia.org/wiki/Taurus_(constellation),Hard,Hard,Hard,,Zeus,Zeus,Zeus,
"In the Epic of Gilgamesh, who sent to Bull of Heaven to kill Gilgamesh?",https://en.wikipedia.org/wiki/Taurus_(constellation),Hard,Hard,Hard,,Ishtar,Ishtar,Ishtar,
Which of the two horns of the bull is brighter? ,https://en.wikipedia.org/wiki/Taurus_(constellation),Hard,Hard,Hard,,Beta Tauri,Beta Tauri,Beta Tauri,
Who is the distributor of Harry Potter and the Prisoner of Askaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,
When was the film release in the United Kingdom?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,May 31st 2004,31-May-04,May 31 2004,
Who directed Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,Alfonso Cuaron,Alfonso Cuarón,Alfonso Cuarón,
